iter	Passed	Remaining
618	1929	1187
619	1933	1185
620	1936	1181
621	1939	1178
622	1943	1175
623	1946	1172
624	1950	1170
625	1954	1167
626	1958	1165
627	1962	1162
628	1965	1159
629	1968	1156
630	1972	1153
631	1975	1150
632	1978	1147
633	1980	1143
634	1983	1140
635	1986	1136
636	1989	1133
637	1991	1130
638	1994	1126
639	1997	1123
640	2000	1120
641	2002	1116
642	2005	1113
643	2008	1110
644	2010	1106
645	2013	1103
646	2016	1099
647	2019	1096
648	2021	1093
649	2024	1090
650	2027	1087
651	2030	1083
652	2032	1080
653	2035	1076
654	2039	1073
655	2041	1070
656	2044	1067
657	2047	1064
658	2050	1061
659	2053	1058
660	2056	1054
661	2059	1051
662	2062	1048
663	2066	1045
664	2070	1043
665	2074	1040
666	2077	1037
667	2080	1034
668	2083	1030
669	2087	1027
670	2089	1024
671	2092	1021
672	2095	1018
673	2098	1014
674	2101	1011
675	2104	1008
676	2107	1005
677	2110	1002
678	2113	998
679	2115	995
680	2118	992
681	2121	989
682	2124	986
683	2127	982
684	2130	979
685	2132	976
686	2136	973
687	2139	970
688	2141	966
689	2144	963
690	2147	960
691	2151	957
692	2153	954
693	2156	951
694	2159	947
695	2162	944
696	2165	941
697	2184	945
698	2187	942
699	2190	938
700	2193	935
701	2196	932
702	2200	929
703	2202	926
704	2205	923
705	2208	919
706	2211	916
707	2214	913
708	2217	909
709	2219	906
710	2222	903
711	2225	900
712	2228	896
713	2231	893
714	2234	890
715	2237	887
716	2240	884
717	2242	880
718	2245	877
719	2248	874
720	2251	871
721	2254	867
722	2257	864
723	2259	861
724	2262	858
725	2265	855
726	2268	851
727	2270	848
728	2273	845
729	2276	842
730	2280	839
731	2284	836
732	2288	833
733	2290	830
734	2293	826
735	2296	823
736	2298	820
737	2301	817
738	2304	813
739	2306	810
740	2309	807
741	2312	803
742	2314	800
743	2317	797
744	2320	794
745	2322	790
746	2325	787
747	2327	784
748	2330	780
749	2332	777
750	2335	774
751	2338	771
752	2340	767
753	2343	764
754	2345	761
755	2348	757
756	2351	754
757	2354	751
758	2356	748
759	2359	745
760	2361	741
761	2364	738
762	2366	735
763	2369	731
764	2372	728
765	2374	725
766	2377	722
767	2379	718
768	2383	715
769	2387	713
770	2391	710
771	2394	707
772	2396	703
773	2399	700
774	2401	697
775	2404	694
776	2407	690
777	2409	687
778	2412	684
779	2414	681
780	2417	677
781	2420	674
782	2422	671
783	2425	668
784	2427	664
785	2430	661
786	2432	658
787	2435	655
788	2438	652
789	2440	648
790	2443	645
791	2446	642
792	2448	639
793	2451	635
794	2453	632
795	2456	629
796	2459	626
797	2461	623
798	2464	619
799	2466	616
800	2469	613
801	2472	610
802	2474	607
803	2477	603
804	2479	600
805	2482	597
806	2485	594
807	2488	591
808	2492	588
809	2497	585
810	2501	583
